City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Arraial Do Cabo,BR,2020-06-20 04:12:01,-22.97,-42.03,71.37,80,0,8.57
251,Asfi,MA,2020-06-20 04:13:35,32.3,-9.24,65.37,83,0,14.61
252,Hobyo,SO,2020-06-20 04:13:35,5.35,48.53,79.74,64,71,23.53
253,Esperance,AU,2020-06-20 04:03:39,-33.87,121.9,57.2,62,90,8.05
254,Omsukchan,RU,2020-06-20 04:13:35,62.53,155.8,64.81,51,93,3.42
255,Port Blair,IN,2020-06-20 04:03:39,11.67,92.75,85.66,77,100,13.4
256,Chabahar,IR,2020-06-20 04:13:36,25.29,60.64,86.4,74,0,5.84
257,Hammerfest,NO,2020-06-20 04:11:53,70.66,23.68,42.8,75,75,11.41
258,Port-Gentil,GA,2020-06-20 04:13:36,-0.72,8.78,73.78,87,90,8.21
259,Kalachinsk,RU,2020-06-20 04:13:36,55.05,74.58,52.41,53,3,7.9
260,Te Anau,NZ,2020-06-20 04:13:36,-45.42,167.72,45.45,79,5,0.94
261,Simpang,ID,2020-06-20 04:13:36,-1.27,104.08,87.06,64,94,5.14
262,Okaihau,NZ,2020-06-20 04:13:37,-35.32,173.78,57.0,3,100,5.01
263,Puerto Del Rosario,ES,2020-06-20 04:13:37,28.5,-13.86,71.6,68,75,20.8
264,Copacele,RO,2020-06-20 04:13:37,45.5,22.1,59.0,100,0,2.19
265,Chicama,PE,2020-06-20 04:04:09,-7.84,-79.15,64.04,82,54,5.32
266,Xining,CN,2020-06-20 04:13:38,36.62,101.77,75.79,31,48,6.4
267,Vao,NC,2020-06-20 04:13:38,-22.67,167.48,68.76,80,37,20.51
268,Kati,ML,2020-06-20 04:13:38,12.74,-8.07,73.4,88,20,5.82
269,Aksu,CN,2020-06-20 04:13:38,41.12,80.26,78.84,19,28,3.91
270,Muros,ES,2020-06-20 04:13:38,42.78,-9.06,59.0,92,64,1.01
271,Nipawin,CA,2020-06-20 04:13:39,53.37,-104.0,44.6,93,90,4.7
272,Osakarovka,KZ,2020-06-20 04:13:39,50.56,72.57,51.66,50,33,10.0
273,Parana,AR,2020-06-20 04:13:39,-31.73,-60.52,53.01,99,2,4.63
274,Macklin,CA,2020-06-20 04:13:39,52.33,-109.93,46.81,79,82,5.44
275,Sept-Iles,CA,2020-06-20 04:12:28,50.2,-66.38,54.0,87,75,11.41
276,Rafaela,AR,2020-06-20 04:13:40,-31.25,-61.49,52.0,80,0,1.01
277,Beringovskiy,RU,2020-06-20 04:13:40,63.05,179.32,49.32,50,100,6.67
278,Carnarvon,AU,2020-06-20 04:13:40,-24.87,113.63,69.8,56,0,5.82
279,Lagoa,PT,2020-06-20 04:13:40,39.05,-27.98,64.56,89,40,23.31
280,Aklavik,CA,2020-06-20 04:13:41,68.22,-135.01,48.2,93,90,6.93
281,Kurilsk,RU,2020-06-20 04:13:41,45.23,147.88,50.74,93,100,2.04
282,Praya,CV,2020-06-20 04:13:41,14.92,-23.51,75.2,78,20,10.29
283,Tuatapere,NZ,2020-06-20 04:04:19,-46.13,167.68,48.58,82,45,3.15
284,Bobo Dioulasso,BF,2020-06-20 04:13:41,11.18,-4.3,71.6,100,78,2.24
285,Ngunguru,NZ,2020-06-20 04:04:16,-35.62,174.5,57.0,94,80,3.0
286,Alice Springs,AU,2020-06-20 04:13:42,-23.7,133.88,64.4,31,0,8.05
287,Gobabis,NA,2020-06-20 04:13:42,-22.45,18.97,35.6,74,0,2.24
288,Barcelos,PT,2020-06-20 04:13:42,41.54,-8.62,57.99,100,40,2.89
289,Smithers,CA,2020-06-20 04:13:43,54.78,-127.17,62.6,82,90,5.82
290,Qaqortoq,GL,2020-06-20 04:13:43,60.72,-46.03,41.0,80,100,2.24
291,Juneau,US,2020-06-20 04:10:00,58.3,-134.42,57.99,87,90,3.36
292,Taywarah,AF,2020-06-20 04:11:05,33.35,64.42,64.11,25,0,5.88
293,Paros,GR,2020-06-20 04:13:43,37.08,25.15,75.99,46,4,1.12
